# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog.,# Required | A specific and relevant title for the item.,# Required | A short and relevant description of the item.,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item.,# Required | The brand name of the item.,# Optional | The Google product category for the item.,# Optional | The Facebook product category for the item.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout.,# Optional | The discounted price of the item if it is on sale.,# Optional | The time range for your sale period.,# Optional | Use this field to create variants of the same item.,# Optional | The gender of a person that the item is targeted towards.,# Optional | The color of the item.,# Optional | The size of the item.,# Optional | The age group that the item is targeted towards.,# Optional | The material the item is made from.,# Optional | The pattern or graphic print on the item.,# Optional | Shipping details for the item.,# Optional | The shipping weight of the item.,# Optional | Legal disclaimer text for product offers.,# Optional | URL linking to the full disclaimer text.,# Optional | The URL for a video of your product.,# Optional | The URL for a video of your product.,# Optional | The item's Global Trade Item Number (GTIN).,# Optional | Add labels to products to help filter them into product sets.,# Optional | Add labels to products to help filter them into product sets.,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
product-black-1-S,REACHING FOR THE IMPOSSIBLE TEE - S,An oversized streetwear tee cut from heavy 240 GSM combed cotton. Features a vintage acid-washed look with a large screenprinted illustration on the back depicting the lunar ship voyage with the gothic scripture text 'Reaching For The Impossible - Achieve Your Dreams'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-1,https://ghubor.com/black%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_46_18%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-1,unisex,black,S,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-black-1-M,REACHING FOR THE IMPOSSIBLE TEE - M,An oversized streetwear tee cut from heavy 240 GSM combed cotton. Features a vintage acid-washed look with a large screenprinted illustration on the back depicting the lunar ship voyage with the gothic scripture text 'Reaching For The Impossible - Achieve Your Dreams'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-1,https://ghubor.com/black%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_46_18%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-1,unisex,black,M,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-black-1-L,REACHING FOR THE IMPOSSIBLE TEE - L,An oversized streetwear tee cut from heavy 240 GSM combed cotton. Features a vintage acid-washed look with a large screenprinted illustration on the back depicting the lunar ship voyage with the gothic scripture text 'Reaching For The Impossible - Achieve Your Dreams'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-1,https://ghubor.com/black%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_46_18%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-1,unisex,black,L,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-black-1-XL,REACHING FOR THE IMPOSSIBLE TEE - XL,An oversized streetwear tee cut from heavy 240 GSM combed cotton. Features a vintage acid-washed look with a large screenprinted illustration on the back depicting the lunar ship voyage with the gothic scripture text 'Reaching For The Impossible - Achieve Your Dreams'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-1,https://ghubor.com/black%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_46_18%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-1,unisex,black,XL,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-black-4-S,DOMINION OF DEATH TEE (BLACK) - S,"A statement piece cut from ultra-soft 240 GSM cotton. It features a custom vintage wash, drop shoulder structure, and high-fidelity screenprinting depicting a grim reaper skull graphic alongside gothic scripture: 'Dominion of Death - Longing for yet another chance to live thy life.'",in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-4,https://ghubor.com/black%204/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_00_34%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-4,unisex,black,S,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-black-4-M,DOMINION OF DEATH TEE (BLACK) - M,"A statement piece cut from ultra-soft 240 GSM cotton. It features a custom vintage wash, drop shoulder structure, and high-fidelity screenprinting depicting a grim reaper skull graphic alongside gothic scripture: 'Dominion of Death - Longing for yet another chance to live thy life.'",in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-4,https://ghubor.com/black%204/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_00_34%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-4,unisex,black,M,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-black-4-L,DOMINION OF DEATH TEE (BLACK) - L,"A statement piece cut from ultra-soft 240 GSM cotton. It features a custom vintage wash, drop shoulder structure, and high-fidelity screenprinting depicting a grim reaper skull graphic alongside gothic scripture: 'Dominion of Death - Longing for yet another chance to live thy life.'",in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-4,https://ghubor.com/black%204/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_00_34%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-4,unisex,black,L,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-black-4-XL,DOMINION OF DEATH TEE (BLACK) - XL,"A statement piece cut from ultra-soft 240 GSM cotton. It features a custom vintage wash, drop shoulder structure, and high-fidelity screenprinting depicting a grim reaper skull graphic alongside gothic scripture: 'Dominion of Death - Longing for yet another chance to live thy life.'",in stock,new,4500.00 INR,https://ghubor.com/shop/product-black-4,https://ghubor.com/black%204/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_00_34%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-black-4,unisex,black,XL,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-blue-S,BEAST RED PRINT TEE - S,"This oversized boxy fit t-shirt features repeated red 'BEAST' text block printing on a dark blue vintage washed cotton jersey. Accented with screenprinted graphics of a perched raven and walking wolf, this piece highlights clean lines and high contrast streetwear design.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-blue,https://ghubor.com/blue/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_30_19%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-blue,unisex,blue,S,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-blue-M,BEAST RED PRINT TEE - M,"This oversized boxy fit t-shirt features repeated red 'BEAST' text block printing on a dark blue vintage washed cotton jersey. Accented with screenprinted graphics of a perched raven and walking wolf, this piece highlights clean lines and high contrast streetwear design.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-blue,https://ghubor.com/blue/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_30_19%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-blue,unisex,blue,M,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
